split	family	rowcap	catboost	icl_llm	lightgbm	random_forest	realmlp	tabm	tabpfn2	tabpfn25	xgboost	xrfm	best_model	best_mean_rounded_consistency
ood	GSM8K	1024	0.0021951219512195124		0.0019024390243902439	0.00029268292682926834	0.006682926829268293	0.024731707317073172	0.02278048780487805	0.09887804878048781	0.0019024390243902439	0.018057108863771563	tabpfn25	0.09887804878048781
ood	GSM8K	2048	0.005		0.003024390243902439	0.0014878048780487805	0.010048780487804878	0.0375609756097561	0.019292682926829268	0.08163414634146342	0.0035853658536585363	0.01976127305175491	tabpfn25	0.08163414634146342
random	AIME	32	0.01020408163265306	0.25510204081632654	0.0	0.02040816326530612	0.0	0.01020408163265306	0.0	0.01020408163265306	0.01020408163265306	0.01457725947521866	icl_llm	0.25510204081632654
random	AIME	64	0.005494505494505495	0.24175824175824176	0.0	0.03296703296703297	0.0	0.005494505494505495	0.03296703296703297	0.03846153846153847	0.005494505494505495	0.0029585798816568047	icl_llm	0.24175824175824176
random	AIME	128	0.005494505494505495	0.25	0.0	0.04395604395604395	0.008241758241758242	0.005494505494505495	0.0521978021978022	0.06318681318681318	0.008241758241758242	0.004437869822485207	icl_llm	0.25
random	AIME	256	0.008241758241758242		0.01098901098901099	0.08928571428571429	0.0013736263736263737	0.017857142857142856	0.08653846153846154	0.10164835164835165	0.0260989010989011	0.0029585798816568047	tabpfn25	0.10164835164835165
random	AIME	512	0.014563106796116504		0.024271844660194174	0.09500693481276004	0.0062413314840499305	0.019417475728155338	0.108876560332871	0.12205270457697641	0.0464632454923717	0.004423467945006262	tabpfn25	0.12205270457697641
random	AIME	1024	0.02543554006968641		0.06132404181184669	0.12613240418118468	0.010801393728222997	0.02195121951219512	0.09686411149825783	0.1470383275261324	0.08048780487804878	0.007752188323276961	tabpfn25	0.1470383275261324
random	AIME	2048	0.03466898954703833		0.10034843205574913	0.16829268292682925	0.0156794425087108	0.02386759581881533	0.1587108013937282	0.17282229965156795	0.09895470383275262	0.012971870485255376	tabpfn25	0.17282229965156795
random	GSM8K	32	0.02	0.5485714285714285	0.022857142857142857	0.022857142857142857	0.02	0.032857142857142856	0.1657142857142857	0.16	0.015714285714285715	0.016122448979591836	icl_llm	0.5485714285714285
random	GSM8K	64	0.02846153846153846	0.5695415695415695	0.025384615384615387	0.023846153846153847	0.03384615384615385	0.05615384615384616	0.24846153846153846	0.2923076923076923	0.03461538461538462	0.014260355029585798	icl_llm	0.5695415695415695
random	GSM8K	128	0.04884615384615385	0.49557913351016797	0.05153846153846154	0.046153846153846156	0.04038461538461538	0.09846153846153846	0.25346153846153846	0.395	0.05153846153846154	0.01707100591715976	icl_llm	0.49557913351016797
random	GSM8K	256	0.0875		0.07346153846153845	0.055	0.05403846153846154	0.125	0.3069230769230769	0.4928846153846154	0.07538461538461538	0.016793639053254438	tabpfn25	0.4928846153846154
random	GSM8K	512	0.14427184466019416		0.12359223300970873	0.0816504854368932	0.09165048543689319	0.18766990291262137	0.36349514563106794	0.5359223300970873	0.11300970873786408	0.01597228768027147	tabpfn25	0.5359223300970873
random	GSM8K	1024	0.21648780487804878		0.1739512195121951	0.12258536585365853	0.14107317073170733	0.252	0.4106829268292683	0.5838536585365853	0.17546341463414636	0.017081737061273052	tabpfn25	0.5838536585365853
random	GSM8K	2048	0.2962439024390244		0.23643902439024392	0.1791707317073171	0.1931219512195122	0.3157317073170732	0.463780487804878	0.6196341463414634	0.23982926829268295	0.017104283164782866	tabpfn25	0.6196341463414634
